级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,108.958216,34.2617,西一路街道,,610102,029,610102001000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,,,
镇,109.002434,34.270758,长乐中路街道,,610102,029,610102002000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,,,
镇,108.96849,34.27171,中山门街道,,610102,029,610102003000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,,,
镇,109.008851,34.255499,韩森寨街道,,610102,029,610102004000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,韩森寨街道,,,
镇,108.966757,34.273844,解放门街道,,610102,029,610102005000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,解放门街道,,,
镇,108.952418,34.280882,自强路街道,,610102,029,610102006000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,自强路街道,,,
镇,108.974869,34.287897,太华路街道,,610102,029,610102007000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,太华路街道,,,
镇,108.982463,34.267714,长乐西路街道,,610102,029,610102008000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐西路街道,,,
镇,109.014181,34.287143,胡家庙街道,,610102,029,610102009000,,,,,,,,,,亚洲,中国,陕西,西安,新城区,胡家庙街道,,,
镇,108.944968,34.253076,南院门街道,,610103,029,610103001000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,南院门街道,,,
镇,108.965486,34.254914,柏树林街道,,610103,029,610103002000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,柏树林街道,,,
镇,108.975435,34.264411,长乐坊街道,,610103,029,610103003000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,长乐坊街道,,,
镇,108.975725,34.257677,东关南街街道,,610103,029,610103004000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,东关南街街道,,,
镇,108.969575,34.245966,太乙路街道,,610103,029,610103005000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,太乙路街道,,,
镇,108.95231,34.244901,文艺路街道,,610103,029,610103006000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,文艺路街道,,,
镇,108.947364,34.238509,长安路街道,,610103,029,610103007000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,长安路街道,,,
镇,108.935451,34.247264,张家村街道,,610103,029,610103008000,,,,,,,,,,亚洲,中国,陕西,西安,碑林区,张家村街道,,,
镇,108.93962,34.271041,青年路街道,,610104,029,610104001000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,青年路街道,,,
镇,108.943977,34.263173,北院门街道,,610104,029,610104002000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,北院门街道,,,
镇,108.947571,34.282589,北关街道,,610102,029,610104003000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,北关街道,,,
镇,108.928126,34.286536,红庙坡街道,,610104,029,610104004000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,红庙坡街道,,,
镇,108.919514,34.263233,环城西路街道,,610104,029,610104005000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,环城西路街道,,,
镇,108.919699,34.251455,西关街道,,610104,029,610104006000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,西关街道,,,
镇,108.888829,34.259178,土门街道,,610104,029,610104007000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,土门街道,,,
镇,108.892122,34.267771,桃园路街道,,610104,029,610104008000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,桃园路街道,,,
镇,108.872139,34.274355,枣园街道,,610104,029,610104009000,,,,,,,,,,亚洲,中国,陕西,西安,莲湖区,枣园街道,,,
镇,109.064461,34.268599,纺织城街道,,610111,029,610111001000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,纺织城街道,,,
镇,109.025441,34.28841,十里铺街道,,610111,029,610111002000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,十里铺街道,,,
镇,109.05566,34.24263,红旗街道,,610111,029,610111003000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,红旗街道,,,
镇,109.063447,34.287901,席王街道,,610111,029,610111004000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,席王街道,,,
镇,109.117756,34.304467,洪庆街道,,610111,029,610111005000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,洪庆街道,,,
镇,109.116264,34.208934,狄寨街道,,610111,029,610111006000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,狄寨街道,,,
镇,109.081423,34.313129,灞桥街道,,610111,029,610111007000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,灞桥街道,,,
镇,109.06174,34.385171,新筑街道,,610111,029,610111008000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,新筑街道,,,
镇,109.104409,34.416195,新合街道,,610111,029,610111009000,,,,,,,,,,亚洲,中国,陕西,西安,灞桥区,新合街道,,,
镇,108.945121,34.327157,张家堡街道,,610112,029,610112001000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,张家堡街道,,,
镇,108.830556,34.291471,三桥街道,,610112,029,610112002000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,三桥街道,,,
镇,109.020757,34.321644,辛家庙街道,,610112,029,610112003000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,辛家庙街道,,,
镇,108.964425,34.347232,徐家湾街道,,610112,029,610112004000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,徐家湾街道,,,
镇,108.964016,34.311909,大明宫街道,,610112,029,610112005000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,大明宫街道,,,
镇,108.966124,34.341654,谭家街道,,610112,029,610112006000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,谭家街道,,,
镇,108.94685,34.292873,草滩街道,,610112,029,610112007000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,草滩街道,,,
镇,108.852547,34.335764,六村堡街道,,610112,029,610112008000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,六村堡街道,,,
镇,108.906628,34.300551,未央宫街道,,610112,029,610112009000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,未央宫街道,,,
镇,108.914792,34.338071,汉城街道,,610112,029,610112010000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,汉城街道,,,
镇,108.990111,34.400862,未央湖街道,,610112,029,610112011000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,未央湖街道,,,
镇,108.84277,34.32685,建章路街道,,610112,029,610112012000,,,,,,,,,,亚洲,中国,陕西,西安,未央区,建章路街道,,,
镇,108.944349,34.225292,小寨路街道,,610113,029,610113001000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,小寨路街道,,,
镇,108.965902,34.225632,大雁塔街道,,610113,029,610113002000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,大雁塔街道,,,
镇,108.929949,34.206575,长延堡街道,,610113,029,610113003000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,长延堡街道,,,
镇,108.920463,34.221531,电子城街道,,610113,029,610113004000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,电子城街道,,,
镇,109.01825,34.230691,等驾坡街道,,610113,029,610113005000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,等驾坡街道,,,
镇,108.860762,34.2332,鱼化寨街道,,610113,029,610113006000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,鱼化寨街道,,,
镇,108.879881,34.196133,丈八沟街道,,610113,029,610113007000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,丈八沟街道,,,
镇,108.996312,34.211398,曲江街道,,610113,029,610113008000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,曲江街道,,,
镇,108.926593,34.213389,杜城街道,,610113,029,610113009000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,杜城街道,,,
镇,108.842269,34.21312,漳浒寨街道,,610113,029,610113010000,,,,,,,,,,亚洲,中国,陕西,西安,雁塔区,漳浒寨街道,,,
镇,109.221232,34.660501,凤凰路街道,,610114,029,610114001000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,凤凰路街道,,,
镇,109.242304,34.658488,新华路街道,,610114,029,610114002000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,新华路街道,,,
镇,109.196623,34.666659,振兴街道,,610114,029,610114003000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,振兴街道,,,
镇,109.278301,34.666238,新兴街道,,610114,029,610114004000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,新兴街道,,,
镇,109.236131,34.616979,北屯街道,,610114,029,610114005000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,北屯街道,,,
镇,109.226102,34.662234,武屯街道,,610114,029,610114006000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,武屯街道,,,
镇,109.226102,34.662234,关山街道,,610114,029,610114007000,,,,,,,,,,亚洲,中国,陕西,西安,阎良区,关山街道,,,
镇,109.213022,34.372941,骊山街道,,610115,029,610115001000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,骊山街道,,,
镇,109.230618,34.380093,秦陵街道,,610115,029,610115002000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,秦陵街道,,,
镇,109.275187,34.422423,新丰街道,,610115,029,610115003000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,新丰街道,,,
镇,109.298368,34.394059,代王街道,,610115,029,610115004000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,代王街道,,,
镇,109.155912,34.358707,斜口街道,,610115,029,610115005000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,斜口街道,,,
镇,109.205882,34.396,行者街道,,610115,029,610115006000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,行者街道,,,
镇,109.362336,34.477726,零口街道,,610115,029,610115007000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,零口街道,,,
镇,109.372882,34.615168,相桥街道,,610115,029,610115008000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,相桥街道,,,
镇,109.249447,34.513808,雨金街道,,610115,029,610115009000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,雨金街道,,,
镇,109.183132,34.537233,新市街道,,610115,029,610115010000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,新市街道,,,
镇,109.146745,34.616176,徐杨街道,,610115,029,610115011000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,徐杨街道,,,
镇,109.143953,34.405435,西泉街道,,610115,029,610115012000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,西泉街道,,,
镇,109.218113,34.583047,栎阳街道,,610115,029,610115013000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,栎阳街道,,,
镇,109.38959,34.40187,马额街道,,610115,029,610115014000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,马额街道,,,
镇,109.323535,34.515053,何寨街道,,610115,029,610115015000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,何寨街道,,,
镇,109.214238,34.367275,交口街道,,610115,029,610115016000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,交口街道,,,
镇,109.214238,34.367275,油槐街道,,610115,029,610115017000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,油槐街道,,,
镇,109.181222,34.456512,北田街道,,610115,029,610115018000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,北田街道,,,
镇,109.214238,34.367275,铁炉街道,,610115,029,610115019000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,铁炉街道,,,
镇,109.242699,34.489953,任留街道,,610115,029,610115020000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,任留街道,,,
镇,109.373035,34.365037,穆寨街道,,610115,029,610115021000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,穆寨街道,,,
镇,109.214238,34.367275,小金街道,,610115,029,610115022000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,小金街道,,,
镇,109.291345,34.315223,仁宗街道,,610115,029,610115023000,,,,,,,,,,亚洲,中国,陕西,西安,临潼区,仁宗街道,,,
镇,108.934632,34.158892,韦曲街道,,610116,029,610116001000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,韦曲街道,,,
镇,108.869257,34.159957,郭杜街道,,610116,029,610116002000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,郭杜街道,,,
镇,108.826969,34.065271,滦镇街道,,610116,029,610116003000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,滦镇街道,,,
镇,109.107564,34.076835,引镇街道,,610116,029,610116004000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,引镇街道,,,
镇,108.789099,34.258264,王寺街道,,610116,029,610116005000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,王寺街道,,,
镇,108.721354,34.204101,马王街道,,610116,029,610116006000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,马王街道,,,
镇,109.00801,34.030723,太乙宫街道,,610116,029,610116007000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,太乙宫街道,,,
镇,108.906917,34.159016,东大街道,,610116,029,610116008000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,东大街道,,,
镇,108.908032,34.055435,子午街道,,610116,029,610116009000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,子午街道,,,
镇,108.810306,34.220587,斗门街道,,610116,029,610116010000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,斗门街道,,,
镇,108.790006,34.157158,细柳街道,,610116,029,610116011000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,细柳街道,,,
镇,109.006352,34.105692,杜曲街道,,610116,029,610116012000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,杜曲街道,,,
镇,109.056457,34.135066,大兆街道,,610116,029,610116013000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,大兆街道,,,
镇,108.906917,34.159016,黄良街道,,610116,029,610116014000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,黄良街道,,,
镇,108.845094,34.128701,兴隆街道,,610116,029,610116015000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,兴隆街道,,,
镇,108.972495,34.065424,王曲街道,,610116,029,610116016000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,王曲街道,,,
镇,109.109699,34.125103,鸣犊街道,,610116,029,610116017000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,鸣犊街道,,,
镇,109.056539,34.055269,王莽街道,,610116,029,610116018000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,王莽街道,,,
镇,108.970511,34.031899,五台街道,,610116,029,610116019000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,五台街道,,,
镇,108.716601,34.246972,高桥街道,,610116,029,610116020000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,高桥街道,,,
镇,108.787148,34.083111,五星街道,,610116,029,610116021000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,五星街道,,,
镇,108.735921,34.156597,灵沼街道,,610116,029,610116022000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,灵沼街道,,,
镇,109.145111,34.04119,杨庄街道,,610116,029,610116023000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,杨庄街道,,,
镇,109.140942,34.167219,砲里街道,,610116,029,610116024000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,砲里街道,,,
镇,109.174926,34.107964,魏寨街道,,610116,029,610116025000,,,,,,,,,,亚洲,中国,陕西,西安,长安区,魏寨街道,,,
镇,109.086194,34.535901,鹿苑街道,,610117,029,610117001000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,鹿苑街道,,,
镇,108.987047,34.444188,泾渭街道,,610117,029,610117002000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,泾渭街道,,,
镇,109.021485,34.501526,崇皇街道,,610117,029,610117003000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,崇皇街道,,,
镇,109.00199,34.492374,姬家街道,,610117,029,610117004000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,姬家街道,,,
镇,109.105562,34.43696,耿镇街道,,610117,029,610117005000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,耿镇街道,,,
镇,109.12241,34.482074,张卜街道,,610117,029,610117006000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,张卜街道,,,
镇,109.088297,34.53483,通远街道,,610117,029,610117007000,,,,,,,,,,亚洲,中国,陕西,西安,高陵区,通远街道,,,
镇,108.6023,34.10783,甘亭街道,,610118,029,610118001000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,甘亭街道,,,
镇,108.627329,34.062051,余下街道,,610118,029,610118002000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,余下街道,,,
镇,108.570971,34.094993,玉蝉街道,,610118,029,610118003000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,玉蝉街道,,,
镇,108.605011,34.108626,五竹街道,,610118,029,610118004000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,五竹街道,,,
镇,108.605011,34.108626,大王街道,,610118,029,610118005000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,大王街道,,,
镇,108.605011,34.108626,秦渡街道,,610118,029,610118006000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,秦渡街道,,,
镇,108.605011,34.108626,草堂街道,,610118,029,610118007000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,草堂街道,,,
镇,108.605011,34.108626,庞光街道,,610118,029,610118008000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,庞光街道,,,
镇,108.494793,34.1055,祖庵镇,,610118,029,610118102000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,祖庵镇,,,
镇,108.478444,34.077773,蒋村镇,,610118,029,610118106000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,蒋村镇,,,
镇,108.559052,34.16872,涝店镇,,610118,029,610118108000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,涝店镇,,,
镇,108.521174,34.158408,甘河镇,,610118,029,610118109000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,甘河镇,,,
镇,108.594383,34.042004,石井镇,,610118,029,610118110000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,石井镇,,,
镇,108.606804,34.200121,渭丰镇,,610118,029,610118114000,,,,,,,,,,亚洲,中国,陕西,西安,鄠邑区,渭丰镇,,,
镇,109.325177,34.147104,蓝关街道,,610122,029,610122001000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,蓝关街道,,,
镇,109.323479,34.151624,洩湖镇,,610122,029,610122101000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,洩湖镇,,,
镇,109.18939,34.224677,华胥镇,,610122,029,610122102000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,华胥镇,,,
镇,109.2274,34.12585,前卫镇,,610122,029,610122103000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,前卫镇,,,
镇,109.217822,34.019343,汤峪镇,,610122,029,610122104000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,汤峪镇,,,
镇,109.246175,34.061486,焦岱镇,,610122,029,610122105000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,焦岱镇,,,
镇,109.506901,34.202799,玉山镇,,610122,029,610122106000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,玉山镇,,,
镇,109.307477,34.170259,三里镇,,610122,029,610122107000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,三里镇,,,
镇,109.401126,34.155003,普化镇,,610122,029,610122108000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,普化镇,,,
镇,109.50539,33.910533,葛牌镇,,610122,029,610122109000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,葛牌镇,,,
镇,109.68018,34.14739,灞源镇,,610122,029,610122110000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,灞源镇,,,
镇,109.510732,34.186083,九间房镇,,610122,029,610122111000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,九间房镇,,,
镇,109.46407,34.07123,蓝桥镇,,610122,029,610122112000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,蓝桥镇,,,
镇,109.363749,34.053837,辋川镇,,610122,029,610122113000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,辋川镇,,,
镇,109.517661,34.247415,厚镇,,610122,029,610122115000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,厚镇,,,
镇,109.386187,34.288495,三官庙镇,,610122,029,610122116000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,三官庙镇,,,
镇,109.289304,34.12902,安村镇,,610122,029,610122118000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,安村镇,,,
镇,109.219838,34.163398,孟村镇,,610122,029,610122119000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,孟村镇,,,
镇,109.287597,34.045747,小寨镇,,610122,029,610122120000,,,,,,,,,,亚洲,中国,陕西,西安,蓝田县,小寨镇,,,
镇,108.222154,34.163621,二曲街道,,610124,029,610124001000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,二曲街道,,,
镇,108.090063,34.177494,哑柏镇,,610124,029,610124101000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,哑柏镇,,,
镇,108.364867,34.144837,终南镇,,610124,029,610124102000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,终南镇,,,
镇,108.195684,34.071115,马召镇,,610124,029,610124103000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,马召镇,,,
镇,108.396055,34.082955,集贤镇,,610124,029,610124104000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,集贤镇,,,
镇,108.303513,34.085664,楼观镇,,610124,029,610124105000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,楼观镇,,,
镇,108.468847,34.155125,尚村镇,,610124,029,610124106000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,尚村镇,,,
镇,108.15194,34.11551,广济镇,,610124,029,610124107000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,广济镇,,,
镇,107.84223,33.85132,厚畛子镇,,610124,029,610124108000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,厚畛子镇,,,
镇,108.036044,34.183449,青化镇,,610124,029,610124109000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,青化镇,,,
镇,108.04564,34.136112,竹峪镇,,610124,029,610124110000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,竹峪镇,,,
镇,108.07726,34.12797,翠峰镇,,610124,029,610124111000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,翠峰镇,,,
镇,108.146459,34.169447,四屯镇,,610124,029,610124112000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,四屯镇,,,
镇,108.286016,34.154285,司竹镇,,610124,029,610124115000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,司竹镇,,,
镇,108.42981,34.080633,九峰镇,,610124,029,610124116000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,九峰镇,,,
镇,108.327783,34.179895,富仁镇,,610124,029,610124117000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,富仁镇,,,
镇,108.110086,34.085124,骆峪镇,,610124,029,610124118000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,骆峪镇,,,
镇,108.149926,33.973179,陈河镇,,610124,029,610124119000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,陈河镇,,,
镇,108.010308,33.815801,板房子镇,,610124,029,610124120000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,板房子镇,,,
镇,108.214169,33.875036,王家河镇,,610124,029,610124121000,,,,,,,,,,亚洲,中国,陕西,西安,周至县,王家河镇,,,
镇,109.087278,35.074433,七一路街道,,610202,0919,610202001000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,七一路街道,,,
镇,109.070425,35.064071,红旗街街道,,610202,0919,610202002000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,红旗街街道,,,
镇,109.073677,35.06378,桃园街道,,610202,0919,610202003000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,桃园街道,,,
镇,109.103646,35.084901,青年路街道,,610202,0919,610202004000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,青年路街道,,,
镇,109.041891,35.089108,王家河街道,,610202,0919,610202005000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,王家河街道,,,
镇,109.075578,35.068964,王益街道,,610202,0919,610202006000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,王益街道,,,
镇,109.020288,34.999887,黄堡镇,,610202,0919,610202100000,,,,,,,,,,亚洲,中国,陕西,铜川,王益区,黄堡镇,,,
镇,109.102377,35.107238,城关街道,,610203,0919,610203001000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,城关街道,,,
镇,109.099421,35.086484,三里洞街道,,610203,0919,610203002000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,三里洞街道,,,
镇,109.201321,35.10453,王石凹街道,,610203,0919,610203003000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,王石凹街道,,,
镇,109.099975,35.114492,印台街道,,610203,0919,610203004000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,印台街道,,,
镇,109.160188,35.024259,陈炉镇,,610203,0919,610203100000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,陈炉镇,,,
镇,109.266299,35.137584,红土镇,,610203,0919,610203101000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,红土镇,,,
镇,109.36012,35.117514,广阳镇,,610203,0919,610203102000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,广阳镇,,,
镇,109.05702,35.209414,金锁关镇,,610203,0919,610203104000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,金锁关镇,,,
镇,109.307715,35.171235,阿庄镇,,610203,0919,610203106000,,,,,,,,,,亚洲,中国,陕西,铜川,印台区,阿庄镇,,,
镇,108.980895,34.90639,永安路街道,,610204,0919,610204001000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,永安路街道,,,
镇,108.97182,34.918472,天宝路街道,,610204,0919,610204002000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,天宝路街道,,,
镇,108.927298,34.898038,咸丰路街道,,610204,0919,610204003000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,咸丰路街道,,,
镇,108.939502,34.894927,正阳路街道,,610204,0919,610204004000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,正阳路街道,,,
镇,108.945904,34.933434,锦阳路街道,,610204,0919,610204005000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,锦阳路街道,,,
镇,108.902004,34.85276,坡头街道,,610204,0919,610204006000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,坡头街道,,,
镇,109.004742,34.967948,董家河镇,,610204,0919,610204101000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,董家河镇,,,
镇,108.775591,35.160444,庙湾镇,,610204,0919,610204102000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,庙湾镇,,,
镇,108.88005,35.190759,瑶曲镇,,610204,0919,610204103000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,瑶曲镇,,,
镇,108.638371,35.057569,照金镇,,610204,0919,610204104000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,照金镇,,,
镇,108.779427,34.91437,小丘镇,,610204,0919,610204107000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,小丘镇,,,
镇,109.029841,34.942754,孙原镇,,610204,0919,610204108000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,孙原镇,,,
镇,108.87217,34.95899,关庄镇,,610204,0919,610204109000,,,,,,,,,,亚洲,中国,陕西,铜川,耀州区,关庄镇,,,
